"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Micronesia, Fed. Sts.","FSM","Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports)","TM.VAL.MRCH.R5.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0233148286167235","0.0597972223130836","0.0891484309372677","0.218236832748395","0.109122744481771","0.207603538158298","0.170584672374104","0.490546990437083","0.561377741577033","0.374251906700573","0.437418884502696","0.435980225204636","0.444797673397346","0.174231861721805","0.192263235661809","0.170780744605793","0.245323263950918","0.291929337235138","","",
"Micronesia, Fed. Sts.","FSM","Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports)","TM.VAL.MRCH.R1.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0601828145867787","","8.01521616384305","8.40456418627942","8.03942489286","9.30064128882288","8.89099591106095","9.13695157414177","8.8204534921482","7.06735191214563","7.77385171786101","8.02068761163011","6.7364592925771","6.69562962637791","6.72469885691173","51.6702053893547","29.1895093511865","33.7742364738266","9.70918756357701","9.77753206656417","","",
"Micronesia, Fed. Sts.","FSM","Merchandise imports from economies in the Arab World (% of total merchandise imports)","TM.VAL.MRCH.AL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.207358161816244","0.370056432270353","0.169140723195603","0.144267973194767","0.0417926385233801","0.0750597506347315","0.0940043716781235","0.209483448672898","0.110233447749557","0.188576177875096","0.145420670985071","0.144942386192496","0.147873762221261","0.0572268549484077","0.0476665277207682","0.0477691041027629","0.0677623491601761","0.0546394140688126","","",
"Micronesia, Fed. Sts.","FSM","ICT goods imports (% total goods imports)","TM.VAL.ICTG.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.729285874","2.2461649902","2.773364707","2.3350417392","5.9808393725","1.9707421464","1.7826040238","2.2718107784","1.3049739537","1.141527633","1.9088087359","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Import unit value index (2015 = 100)","TM.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.5916508823","62.3007929137","60.3296648378","64.9243210082","72.6561935908","79.859175655","85.0036758689","91.8941653992999","108.0075653152","96.5844102306","104.6145417371","122.6544249745","123.3249542611","120.7609255733","119.3141668327","100","95.5962986527","101.4004704258","107.1927314984","105.825204494","104.4258086149","124.1375335709","",
"Micronesia, Fed. Sts.","FSM","Tariff rate, most favored nation, simple mean, primary products (%)","TM.TAX.TCOM.SM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Binding coverage, primary products (%)","TM.TAX.TCOM.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Tariff rate, most favored nation, simple mean, all products (%)","TM.TAX.MRCH.SM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Binding coverage, all products (%)","TM.TAX.MRCH.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Tariff rate, most favored nation, simple mean, manufactured products (%)","TM.TAX.MANF.SM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4599999.90463257","4800000.19073486","4900000.09536743","5300000.19073486","5400000.09536743","5300000.19073486","5500000","6699999.80926514","6900000.09536743","7000000","7000000","7099999.90463257","26000000","28000000","27000000","30000000","29000000","29000000","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17600.0003814697","17200.0007629395","13399.9996185303","16100.0003814697","20500","15300.0001907349","19100.0003814697","18200.0007629395","19299.9992370605","19000","19100.0003814697","21100.0003814697","25700.0007629395","47500","44700.0007629395","35400.0015258789","38299.9992370605","42099.9984741211","35400.0015258789","31200.0007629395","29600.0003814697","","19200.0007629395","18000","","","",
"Micronesia, Fed. Sts.","FSM","Urban population growth (annual %)","SP.URB.GROW","","4.67474757592707","4.68456071289783","4.38406014282652","4.10400732475397","4.1181284525219","4.1401051744275","4.05264159873854","4.00597699603978","4.02972958764356","4.05828540582575","3.86055178093632","3.62831097441792","3.60528415370687","3.14849181909855","2.81642921926692","2.63270358091735","2.67450397479088","3.03510167344749","3.36683006859577","3.35136809189218","2.78101151770953","2.61188463655406","2.5957424940101","2.57912717234112","2.53601686317006","2.47329051995462","2.41773241364343","2.0244933708109","1.63370766972088","1.59173458816839","1.57839555802881","2.16871822340863","2.746748789574","2.36101110529327","-0.566063057185217","-1.99024261798168","-2.09843521095657","-2.19345452869316","-2.33325091898464","-1.70516264054059","0.212242035502941","0.0399952011090631","-0.168087445026153","-0.328987257608594","-0.447067623413369","-0.603277332211627","-0.733679006385432","-0.784446596058745","-0.798961052554881","-0.291363369492964","0.307987091582606","0.40642033299429","0.48718150939254","0.574950249126112","0.657131811028578","0.73364332056554","0.820467923035951","0.869397300613344","0.885521282973254","1.17770400851775","1.49792400436107","1.55130292462561",
"Micronesia, Fed. Sts.","FSM","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Completeness of birth registration, male (%)","SP.REG.BRTH.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","48.8740520169358","48.8701389044723","48.8614718614719","48.8692993843963","48.8919583189454","48.9056127977305","48.9206434111489","48.9395624768261","48.9514517667813","48.9604444755049","48.9752326704979","48.9871936446195","48.9938167509837","48.9990452190518","49.0099463021723","49.0532024254704","49.1224745634238","49.1902372262774","49.2310684467166","49.2471058099684","49.2575263109608","49.2671683793661","49.2786081963968","49.2862554568085","49.2921688507534","49.2997294409204","49.3036273327655","49.3090634929183","49.3099055660248","49.3067895367577","49.3037737188524","49.2994911726926","49.2453325299097","49.1483542393662","49.0941163500055","49.1316800812124","49.2205623504987","49.3183842782972","49.4336032170619","49.5441056491451","49.5922441343133","49.5792689462965","49.5535395385385","49.536246142838","49.5261939374361","49.5258698395529","49.5417085973835","49.55538107585","49.5630335590227","49.5735528609041","49.5789493252036","49.5787258891247","49.5823785941311","49.5861300628861","49.5918329909011","49.6016882571121","49.6138276097339","49.6241963234628","49.6380567750543","49.656577990465","49.6797673630314","49.7060929365072","49.732840475106",
"Micronesia, Fed. Sts.","FSM","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
